Empresa,Unidad,Anio,Produccion
Salvador,Miles TM,1977,80.7
Andina,Miles TM,1977,58.5
El Teniente,Miles TM,1977,275.7
Gaby,Miles TM,1977,0.0
Escondida,Miles TM,1977,0.0
Collahuasi,Miles TM,1977,0.0
Los Pelambres,Miles TM,1977,0.0
Anglo American Sur,Miles TM,1977,35.8
El Abra,Miles TM,1977,0.0
Candelaria,Miles TM,1977,0.0
Mantos Copper,Miles TM,1977,28.4
Zaldívar,Miles TM,1977,0.0
Cerro Colorado,Miles TM,1977,0.0
Centinela (Oxidos),Miles TM,1977,0.0
Quebrada Blanca,Miles TM,1977,0.0
Lomas Bayas,Miles TM,1977,0.0
Michilla,Miles TM,1977,0.0
Spence,Miles TM,1977,0.0
Centinela (Súlfuros),Miles TM,1977,0.0
Caserones,Miles TM,1977,0.0
Sierra Gorda,Miles TM,1977,0.0
Antucoya,Miles TM,1977,0.0
Andacollo,Miles TM,1977,0.0
Punta del Cobre,Miles TM,1977,0.0
Las Cenizas,Miles TM,1977,0.0
Chuquicamata,Miles TM,1978,500.7
Radomiro Tomic,Miles TM,1978,0.0
Ministro Hales,Miles TM,1978,0.0
Salvador,Miles TM,1978,77.5
Andina,Miles TM,1978,47.7
El Teniente,Miles TM,1978,250.6
Gaby,Miles TM,1978,0.0
Escondida,Miles TM,1978,0.0
Collahuasi,Miles TM,1978,0.0
Los Pelambres,Miles TM,1978,0.0
Anglo American Sur,Miles TM,1978,28.6
El Abra,Miles TM,1978,0.0
Candelaria,Miles TM,1978,0.0
Mantos Copper,Miles TM,1978,37.0
Zaldívar,Miles TM,1978,0.0
Cerro Colorado,Miles TM,1978,0.0
Centinela (Oxidos),Miles TM,1978,0.0
Quebrada Blanca,Miles TM,1978,0.0
Lomas Bayas,Miles TM,1978,0.0
Michilla,Miles TM,1978,0.0
Spence,Miles TM,1978,0.0
Centinela (Súlfuros),Miles TM,1978,0.0
Caserones,Miles TM,1978,0.0
Sierra Gorda,Miles TM,1978,0.0
Antucoya,Miles TM,1978,0.0
Andacollo,Miles TM,1978,0.0
Punta del Cobre,Miles TM,1978,0.0
Las Cenizas,Miles TM,1978,0.0
Chuquicamata,Miles TM,1979,507.2
Radomiro Tomic,Miles TM,1979,0.0
Ministro Hales,Miles TM,1979,0.0
Salvador,Miles TM,1979,78.1
Andina,Miles TM,1979,46.7
El Teniente,Miles TM,1979,278.2
Gaby,Miles TM,1979,0.0
Escondida,Miles TM,1979,0.0
Collahuasi,Miles TM,1979,0.0
Los Pelambres,Miles TM,1979,0.0
Anglo American Sur,Miles TM,1979,22.0
El Abra,Miles TM,1979,0.0
Candelaria,Miles TM,1979,0.0
Mantos Copper,Miles TM,1979,35.2
Zaldívar,Miles TM,1979,0.0
Cerro Colorado,Miles TM,1979,0.0
Centinela (Oxidos),Miles TM,1979,0.0
Quebrada Blanca,Miles TM,1979,0.0
Lomas Bayas,Miles TM,1979,0.0
Michilla,Miles TM,1979,0.0
Spence,Miles TM,1979,0.0
Centinela (Súlfuros),Miles TM,1979,0.0
Caserones,Miles TM,1979,0.0
Sierra Gorda,Miles TM,1979,0.0
Antucoya,Miles TM,1979,0.0
Andacollo,Miles TM,1979,0.0
Punta del Cobre,Miles TM,1979,0.0
Las Cenizas,Miles TM,1979,0.0
Chuquicamata,Miles TM,1980,510.9
Radomiro Tomic,Miles TM,1980,0.0
Ministro Hales,Miles TM,1980,0.0
Salvador,Miles TM,1980,74.8
Andina,Miles TM,1980,52.8
El Teniente,Miles TM,1980,266.0
Gaby,Miles TM,1980,0.0
Escondida,Miles TM,1980,0.0
Collahuasi,Miles TM,1980,0.0
Los Pelambres,Miles TM,1980,0.0
Anglo American Sur,Miles TM,1980,28.4
El Abra,Miles TM,1980,0.0
Candelaria,Miles TM,1980,0.0
Mantos Copper,Miles TM,1980,29.8
Zaldívar,Miles TM,1980,0.0
