ML,Stat,α_sm_s,α_sm_l,α_sm_mid,α_lc,MAPE,Skill,WR,WR_Focus,M50,Label
LGB,ARIMA,0.6,0.9,0.75,0.2,20.97,20.77,62.4,63.0,24,LGB+ARIMA SM=0.6/0.9 LC=0.2
LGB,ARIMA,0.6,0.9,0.75,0.3,20.85,21.36,62.0,62.8,23,LGB+ARIMA SM=0.6/0.9 LC=0.3
LGB,ARIMA,0.6,0.9,0.75,0.4,20.8,21.49,62.0,63.4,23,LGB+ARIMA SM=0.6/0.9 LC=0.4
LGB,ARIMA,0.6,0.9,0.75,0.5,20.84,20.89,62.0,63.6,23,LGB+ARIMA SM=0.6/0.9 LC=0.5
LGB,ARIMA,0.6,0.9,0.75,0.6,20.93,19.83,61.1,62.1,22,LGB+ARIMA SM=0.6/0.9 LC=0.6
LGB,ARIMA,0.6,0.9,0.75,0.7,21.06,18.47,60.4,61.5,22,LGB+ARIMA SM=0.6/0.9 LC=0.7
LGB,ARIMA,0.6,1.0,0.8,0.2,21.1,20.39,61.9,61.3,24,LGB+ARIMA SM=0.6/1.0 LC=0.2
LGB,ARIMA,0.6,1.0,0.8,0.3,20.98,20.98,61.4,61.1,23,LGB+ARIMA SM=0.6/1.0 LC=0.3
LGB,ARIMA,0.6,1.0,0.8,0.4,20.93,21.1,61.5,61.7,23,LGB+ARIMA SM=0.6/1.0 LC=0.4
LGB,ARIMA,0.6,1.0,0.8,0.5,20.96,20.5,61.4,61.9,23,LGB+ARIMA SM=0.6/1.0 LC=0.5
LGB,ARIMA,0.6,1.0,0.8,0.6,21.06,19.45,60.6,60.5,22,LGB+ARIMA SM=0.6/1.0 LC=0.6
LGB,ARIMA,0.6,1.0,0.8,0.7,21.19,18.08,59.9,59.9,22,LGB+ARIMA SM=0.6/1.0 LC=0.7
LGB,ARIMA,0.7,0.5,0.6,0.2,21.21,21.18,62.9,65.0,25,LGB+ARIMA SM=0.7/0.5 LC=0.2
LGB,ARIMA,0.7,0.5,0.6,0.3,21.09,21.77,62.5,64.8,24,LGB+ARIMA SM=0.7/0.5 LC=0.3
LGB,ARIMA,0.7,0.5,0.6,0.4,21.04,21.89,62.5,65.4,24,LGB+ARIMA SM=0.7/0.5 LC=0.4
LGB,ARIMA,0.7,0.5,0.6,0.5,21.07,21.29,62.5,65.6,24,LGB+ARIMA SM=0.7/0.5 LC=0.5
LGB,ARIMA,0.7,0.5,0.6,0.6,21.17,20.24,61.6,64.2,23,LGB+ARIMA SM=0.7/0.5 LC=0.6
LGB,ARIMA,0.7,0.5,0.6,0.7,21.3,18.88,60.9,63.6,22,LGB+ARIMA SM=0.7/0.5 LC=0.7
LGB,ARIMA,0.7,0.6,0.65,0.2,21.07,21.23,62.8,64.6,25,LGB+ARIMA SM=0.7/0.6 LC=0.2
LGB,ARIMA,0.7,0.6,0.65,0.3,20.95,21.82,62.3,64.4,24,LGB+ARIMA SM=0.7/0.6 LC=0.3
LGB,ARIMA,0.7,0.6,0.65,0.4,20.9,21.94,62.4,65.0,24,LGB+ARIMA SM=0.7/0.6 LC=0.4
LGB,ARIMA,0.7,0.6,0.65,0.5,20.94,21.34,62.3,65.2,24,LGB+ARIMA SM=0.7/0.6 LC=0.5
LGB,ARIMA,0.7,0.6,0.65,0.6,21.03,20.29,61.5,63.8,23,LGB+ARIMA SM=0.7/0.6 LC=0.6
LGB,ARIMA,0.7,0.6,0.65,0.7,21.16,18.92,60.8,63.2,22,LGB+ARIMA SM=0.7/0.6 LC=0.7
LGB,ARIMA,0.7,0.7,0.7,0.2,20.99,21.17,62.2,63.4,25,LGB+ARIMA SM=0.7/0.7 LC=0.2
LGB,ARIMA,0.7,0.7,0.7,0.3,20.87,21.76,61.8,63.2,24,LGB+ARIMA SM=0.7/0.7 LC=0.3
LGB,ARIMA,0.7,0.7,0.7,0.4,20.82,21.89,61.8,63.8,24,LGB+ARIMA SM=0.7/0.7 LC=0.4
