Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-01-01,60,escondida,LC,93.319,107.0443727917226,77.1
2018-01-01,60,franke,SM,1.251,1.0674505810870054,1.7
2018-01-01,60,gabriela mistral,LC,7.517,8.264756385448504,7.2
2018-01-01,60,lomas bayas,SM,7.232,5.772542402851733,7.2
2018-01-01,60,los bronces,LC,16.369,18.687606240488268,20.858
2018-01-01,60,los pelambres,LC,17.369,27.24386859606743,28.1
2018-01-01,60,mantos blancos,SM,4.134,3.670770559983716,3.569
2018-01-01,60,mantoverde,SM,3.34,5.103760802495205,3.065
2018-01-01,60,ministro hales,LC,10.731,10.114326791134522,23.8
2018-01-01,60,ojos del salado,SM,1.382,1.7774024306470055,2.1
2018-01-01,60,otros,LC,12.32280417175306,10.113559197324015,11.749
2018-01-01,60,radomiro tomic,LC,26.388,20.75603788213924,25.704
2018-01-01,60,salvador,SM,2.516,5.150642434824116,4.3
2018-01-01,60,sierra gorda,SM,10.725,10.940258767536356,7.8
2018-01-01,60,zaldivar,SM,7.572,6.0092331037890485,8.7
2018-07-01,6,andacollo,SM,4.2,3.4401278330894067,6.4
2018-07-01,6,andina,LC,16.746,16.262814957218087,17.8
2018-07-01,6,antucoya,SM,6.0,6.225519212254263,7.0
2018-07-01,6,atacama kozan,SM,1.0,1.0972752700831756,0.8
2018-07-01,6,candelaria,LC,7.8,9.858221389254844,11.4
2018-07-01,6,caserones,LC,11.887,10.490757424463917,10.1
2018-07-01,6,centinela_oxidos,SM,9.1,7.717816883636371,4.3
2018-07-01,6,centinela_sulfuros,LC,16.6,17.04029379729589,17.7
2018-07-01,6,cerro colorado,SM,3.007,5.350926724721929,4.8
2018-07-01,6,chuquicamata,LC,28.231,27.00073567209545,27.108
2018-07-01,6,collahuasi,LC,44.49,56.333143676620615,41.1
2018-07-01,6,el abra,SM,6.353,6.307160473921234,6.8
2018-07-01,6,el soldado,SM,4.322,3.315803200372889,3.734
