Mine,Origin,Segment,LGB_bc,RF_bc,XGB_bc,ARIMA,SARIMAX,RollingMean,Naive,H_norm
gabriela mistral,2018-07-01,LC,0.03744175396587192,0.04241809487418967,-0.03986155942039673,-0.04007819025280368,0.16118742858110222,-0.07150699868933864,0.017985695646054577,-0.2644851148290938
gabriela mistral,2019-01-01,LC,-0.029779350160770116,0.013292422195218374,-0.006820658818152184,0.0007064097914315613,0.1481601469104074,-0.14042737344427653,-0.007434796802955852,-0.24361381014526692
gabriela mistral,2019-07-01,SM,0.03498658444738928,0.0561789419571277,0.018646883030634075,-0.04251134398545612,0.1544773666769167,-0.1350107848002158,-0.008850467075897522,-0.28404434812792384
gabriela mistral,2020-01-01,SM,0.022687778761099276,0.008516535288923184,-0.06029611547972807,0.02913904326628356,0.12860624888754457,-0.0864684958285389,-0.09214947227838247,-0.2600980790551343
gabriela mistral,2020-07-01,SM,0.01262565119846411,-0.021492714232211763,-0.03312253007692457,-0.11515569653140217,0.11525829229640257,-0.06617354507437889,-0.0034556619828825007,-0.22982347780209475
gabriela mistral,2020-10-01,SM,0.017048941116281545,-0.01645791112920363,-0.08123134531468634,-0.06721704891817772,0.16233231676909177,-0.07488977096832033,-0.046656300665038467,-0.20326835170339902
gabriela mistral,2021-04-01,SM,0.019634192912259908,0.05499330010849354,-0.12319855358666155,-0.03150999101749445,0.19617659139741073,-0.029904082151601504,0.01793152467860986,-0.14076667595163445
lomas bayas,2018-01-01,SM,-0.021409849259592384,-0.0625664430724476,-0.01826923224451892,0.03540969754347134,0.043515339279390254,0.16522292086914545,0.015907584330179123,-0.007291565017420399
lomas bayas,2018-07-01,SM,-0.0287124958355238,-0.10321271569929698,-0.012704666176328261,0.0698591912249378,0.027465837176304214,0.18590476925072166,0.05053921716046584,-0.0049538196399564706
lomas bayas,2019-01-01,SM,-0.02591196392293713,-0.06094396322906875,-0.008013438412860856,0.0006511490508034175,0.008657369480317251,0.1646917307256636,0.10733333817840165,-0.001095254914870683
lomas bayas,2019-07-01,SM,-0.012853641693946352,-0.056342129423560365,-0.0016728829539293022,0.015244057854238408,0.005838470193433086,0.20103969906992403,0.05828972695860157,0.006161329991742956
lomas bayas,2020-01-01,SM,0.008944682617516422,-0.06351877843614545,0.0037201148303843312,0.023375427120023877,0.005693308622134155,0.18846626448688722,0.06797610480256176,0.0008808246491888247
lomas bayas,2020-07-01,SM,0.02201657211365077,-0.06418979099509295,0.01125062189693112,0.010254980735462313,-0.003695396006273798,0.18337436460243922,0.0540944310831596,0.006170509640669005
lomas bayas,2020-10-01,SM,-0.002708697765959416,-0.026343456178063062,-0.04411711029092345,0.03186638454965505,0.015341288429635213,0.15986636558905357,0.05938577969260311,-0.034191639113172044
lomas bayas,2021-04-01,SM,-0.007511405192766049,-0.10791355285434402,-0.00024159369366934336,-0.0253653455571587,-0.030371617779140294,0.21231886726648058,0.022181950430247423,-0.028669339436580205
los bronces,2018-01-01,LC,0.8266485297075009,0.9279982963225747,0.7217637500349184,0.07921099178361798,0.05486728049148368,-0.1761646316615132,-0.18572818780419947,-1.767641228633865
los bronces,2018-07-01,LC,0.8265788312651355,0.8692677334404415,0.6914823747005618,-0.17732678319153755,0.02121188576463762,-0.17178856689694336,-0.5356624490490599,-1.7385730512721058
los bronces,2019-01-01,LC,0.7871621341636329,0.8993280552539688,0.7179694810046275,-0.00980036826381397,0.03997211086542954,-0.3520529022240603,-0.6335068710670724,-1.7813566080808343
los bronces,2019-07-01,LC,0.9055728445557691,1.0100605998095749,0.726657140229661,0.051725760387937296,0.06193806275421432,-0.20237943579610032,-0.31306066174171543,-1.638889208947648
los bronces,2020-01-01,LC,0.8199430779750008,0.8714178132189461,0.6505611901155265,0.09583915203186213,0.26268447955650176,-0.18663594303361325,-0.5938936839464128,-1.8133895435493341
los bronces,2020-07-01,LC,0.8224458469448452,0.8262840424352531,0.5740894361775697,-0.11176036182564926,0.02625003894127523,-0.4841754998424052,-0.4340912441501964,-1.9981688738702639
los bronces,2020-10-01,LC,0.7437986891647151,0.8777012377656808,0.6502692913225364,-0.06713131786345099,-0.08775618739803707,-0.48098444546138874,-0.6765316372776365,-1.812541494264458
los bronces,2021-04-01,LC,0.7878720647431804,0.8924240813704521,0.7330765404887201,0.06536196763295203,0.05959389375837642,0.18150481149304537,-1.0336520077201916,-1.9146092040150955
los pelambres,2018-01-01,LC,0.19379449628497858,0.10784035495915711,-0.08863898967168367,-0.06436017381749579,-0.27260892846193635,-0.4237816867003226,-0.18768649824508107,0.3095379646554466
los pelambres,2018-07-01,LC,-0.13781093476456255,0.06423090130772961,-0.24883923648375741,-0.2388842886815575,-0.15835956122051095,-0.46813784985910173,-0.19202010671186154,0.016348061589991025
los pelambres,2019-01-01,LC,-0.035655916717886954,0.014465427447313602,-0.16968010614869566,-0.1191396949751925,-0.34002605111756506,-0.47600923994671046,-0.17439992724183878,0.06655389910682893
