ID_SUBEST,NOMBRE,PROPIEDAD,TENSION,TIPO,FECHA_CREA,Latitude,Longitude
2319,CUCHILDEO,SAGESA,23,NO APLICA,2014-12-04,-41.96028700099998,-72.48442899999998
932,S/E PANGUILEMO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,2014-04-12,-35.36817600099994,-71.58755399999995
967,S/E PLANTA OXIDO,MINERA LAS CENIZAS S.A.,<66,DEDICADO,2014-04-12,-25.79770130099996,-70.31068187999995
848,S/E SAN JERONIMO,LITORAL TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-33.36814600099996,-71.59359799999999
1686,S/E TRAVESIA,COMPAÑÍA CONTRACTUAL MINERA CANDELARIA,110,DEDICADO,2014-04-12,-27.35035400099997,-70.43950199999995
2339,S/E PALPANA,ENGIE ENERGÍA CHILE S.A.,220,DEDICADO,2014-04-12,-22.265547176999974,-69.48224449899993
875,S/E CHUMPULLO,CARTULINAS CMPC SPA,66,DEDICADO,2014-04-12,-39.79100590099995,-73.18608259999996
2469,S/E LA ESPERANZA (TRANSELEC),TRANSELEC S.A.,220,DEDICADO,2014-04-12,-37.86056697599997,-72.37969976899996
1642,S/E RAPEL,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-34.03862500099996,-71.58483999999999
643,S/E LEYDA,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-33.61757400099998,-71.46517799999998
2288,S/E GUARDIAMARINA,SOCIEDAD AUSTRAL DE TRANSMISIÓN TRONCAL S.A.,110,ZONAL,2014-04-12,-23.591262350999955,-70.37335272399997
1842,S/E CERRO DRAGON,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-20.25053100099996,-70.12448699999999
826,S/E COCHARCAS,COOPERATIVA DE CONSUMO DE ENERGÍA ELÉCTRICA CHILLÁN LTDA.,<66,ZONAL,2014-04-12,-36.52013400099997,-72.04767299999997
309,S/E LOMA ALTA,TRANSELEC S.A.,220,DEDICADO,2014-04-12,-35.79197253099994,-70.98155412999995
2141,S/E AGUAS CLARAS,INNOVACIÓN ENERGÍA S.A.,<66,DEDICADO,2014-04-12,-34.86854658799996,-71.14170761499997
1711,S/E CENTRAL UCUQUER,CGE TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-34.04460600099998,-71.61676699999998
294,S/E CENTRAL LOS ESPINOS,ESPINOS S.A.,220,DEDICADO,2014-04-12,-31.883362000999966,-71.45031199999994
433,S/E PUMAHUE,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-38.70784986099994,-72.55561266999996
940,S/E RENAICO (FFCC),EMPRESA DE LOS FERROCARRILES DEL ESTADO,66,ZONAL,2014-04-12,-37.67540000099996,-72.58024199999994
841,S/E LOTA,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-37.097924570999965,-73.14642471999997
2357,S/E FUENTECILLA,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-34.428249480999966,-71.09097549699999
580,S/E MAITENCILLO,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-28.535684000999936,-70.92421399999995
1876,S/E FORTUNA,COMPAÑÍA MINERA LOMAS BAYAS,220,DEDICADO,2014-04-12,-23.462791530999937,-69.53043269999995
1889,S/E LA HUAYCA II,HALDEMAN MINING COMPANY S.A.,66,DEDICADO,2014-04-12,-20.454996000999927,-69.53555299999994
1631,S/E CANETE,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-37.83248605099993,-73.39383331999994
2092,S/E ANDALICAN,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-37.09797241099994,-73.14677790099995
372,S/E LATORRE,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-36.71882200099998,-73.11980499999999
2075,S/E CENTRAL ALFALFAL II,ALTO MAIPO SPA,220,DEDICADO,2014-04-12,-33.57472026099998,-70.23429794299994
2378,S/E IBERATACAMA,PARQUE EÓLICO ATACAMA SPA,220,DEDICADO,2014-04-12,-28.94951463199993,-71.48032293999995
507,S/E LOS NEGROS,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-40.59786400099995,-72.89379499999995
500,S/E ZONA DE CAIDA,PALMUCHO S.A.,66,DEDICADO,2014-04-12,-37.99913700099995,-71.51343399999996
898,S/E SAG,CODELCO CHILE - DIVISIÓN ANDINA,220,DEDICADO,2014-04-12,-33.09277246099998,-70.25573038999994
1563,S/E PUNTA PEUCO (CEMENTO POLPAICO),CEMENTO POLPAICO S.A.,110,DEDICADO,2014-04-12,-33.118983310999965,-70.82713843999994
1929,S/E SALAR,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,220,NACIONAL,2014-04-12,-22.340188000999945,-68.87612699999994
2313,CENTRAL CHILE CHICO,EDELAYSEN,23,NO APLICA,2014-12-04,-46.54003700099997,-71.75256799999994
657,S/E RETIRO,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-36.038919000999954,-71.76122899999996
2012,S/E CENTRAL RENCA,GENERADORA METROPOLITANA SPA,110,DEDICADO,2014-04-12,-33.41725000099996,-70.68882599999995
946,S/E EKA CHILE,EKA CHILE S.A.,154,DEDICADO,2014-04-12,-36.76511000099998,-73.12333299999995
950,S/E ERBB,ENAP REFINERÍAS S.A.,66,S/I,2014-04-12,-36.778398600999935,-73.11714420999994
2229,S/E LUCERO,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,66,ZONAL,2014-04-12,-36.79796648699994,-72.17568235899995
586,S/E QUILLOTA,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-32.953082000999984,-71.25022099999995
1882,S/E IQUIQUE,ENGIE ENERGÍA CHILE S.A.,66,DEDICADO,2014-04-12,-20.206842000999927,-70.12996699999997
2310,PUNTA ARENAS,EDELMAG,66,NO APLICA,2014-12-04,-53.15493603099998,-70.90740273499995
1775,S/E CENTRAL PARQUE EOLICO LOS BUENOS AIRES,ENEL GREEN POWER CHILE S.A.,66,ZONAL,2014-04-12,-37.55101400099994,-72.51216499999998
378,S/E ANDALIEN,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-36.80451267099994,-73.03302382999993
2085,S/E CENTRAL HIDROELECTRICA PALACIOS,HIDROELÉCTRICA PALACIOS SPA,<66,DEDICADO,2014-04-12,-34.93190500099996,-70.37575499999997
712,S/E PUDAHUEL,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.420861000999935,-70.72955799999994
2287,ISLA LAITEC,SAGESA,23,NO APLICA,2014-12-04,-43.20134000099995,-73.62555699899997
2061,S/E ENTRE RIOS,TRANSELEC S.A.,500,NACIONAL,2014-04-12,-36.990865000999975,-72.21090399999997
2294,S/E PUEBLO SECO,BESALCO TRANSMISIÓN SPA,154,ZONAL,2014-04-12,-36.88832319899996,-72.12208458499998
392,S/E COLCHAGUA,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-34.60082100099993,-70.97950099999997
1741,S/E CHICUREO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220,ZONAL,2014-04-12,-33.28972800099996,-70.65327799999994
1703,S/E CENTRAL SAN PEDRO DALCAHUE,ALBA S.A.,110,DEDICADO,2014-04-12,-42.273069420999946,-73.89652455999999
608,S/E LAGUNILLAS,TRANSELEC S.A.,220,NACIONAL,2014-04-12,-36.98848800099995,-73.13486899999998
369,S/E LA RONDA,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-34.557741000999954,-70.95919299999997
1897,S/E LOMAS BAYAS,ENGIE ENERGÍA CHILE S.A.,<66,DEDICADO,2014-04-12,-23.43313800099997,-69.50339399999996
233,S/E CENTRAL SAN CLEMENTE (COLBUN),COLBÚN S.A.,66,DEDICADO,2014-04-12,-35.59800300099994,-71.35539899999998
692,S/E LA PINTANA,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,110,ZONAL,2014-04-12,-33.61779247099997,-70.61634597999995
1798,S/E 10A,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110,DEDICADO,2014-04-12,-22.31045224099995,-68.89615970999995
2235,S/E PUQUIOS,COMPAÑÍA MINERA TECK QUEBRADA BLANCA S.A.,220,DEDICADO,2014-04-12,-20.993299238999956,-68.83391312799995
2207,S/E RIO TOLTEN,SIN INFORMACIÓN,66,NACIONAL,2014-04-12,-38.954940000999954,-72.63894999999997
205,S/E CENTRAL SANTA LIDIA,GENERADORA METROPOLITANA SPA,<66,DEDICADO,2014-04-12,-37.093287000999965,-72.31678299999999
256,S/E CENTRAL QUINTERO,TRANSELEC S.A.,220,DEDICADO,2014-04-12,-32.788183000999936,-71.48519899999997
2266,S/E CENTRAL ANDINA,CENTRAL TERMOELÉCTRICA ANDINA SPA,<66,S/I,2014-04-12,-23.08866200099993,-70.40780099999995
513,S/E MELIPULLI,SISTEMA DE TRANSMISIÓN DEL SUR S.A.,220,NACIONAL,2014-04-12,-41.45048300099995,-72.95409999999998
640,S/E LA MANGA,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-33.92102600099997,-71.56376499999993
2168,S/E CENTRAL NUEVA VENTANAS,AES ANDES S.A.,220,DEDICADO,2014-04-12,-32.74915100099997,-71.48239199999995
284,S/E CERRO CALERA,ALFA TRANSMISORA DE ENERGÍA S.A.,110,DEDICADO,2014-04-12,-32.79681500099997,-71.19543899999996
1845,S/E CHAMY,CODELCO CHILE - DIVISIÓN CHUQUICAMATA,110,DEDICADO,2014-04-12,-22.255965660999948,-68.89452088999997
1923,S/E QUEBRADA BLANCA,COMPAÑÍA MINERA TECK QUEBRADA BLANCA S.A.,220,DEDICADO,2014-04-12,-20.997465000999966,-68.79410599999994
486,S/E PUCON,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-39.28753707099997,-71.97412065999998
413,S/E TOME,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-36.63143100099995,-72.94926899999996
669,S/E SAN RAFAEL,CGE TRANSMISIÓN S.A.,<66,ZONAL,2014-04-12,-35.310469000999944,-71.52879599999994
2020,S/E DOS VALLES,HIDROELECTRICA DOS VALLES SPA,<66,DEDICADO,2014-04-12,-34.90185200099995,-70.34078399999999
419,S/E VICUÑA,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-30.051781000999934,-70.71489099999997
1765,S/E COPAYAPU,CGE TRANSMISIÓN S.A.,110,ZONAL,2014-04-12,-27.48414700099994,-70.38136699999995
2027,S/E PORTAL GCM,SIN INFORMACIÓN,<66,ZONAL,2014-04-12,-25.059767000999955,-69.85147899999998
1941,TAP OFF 534,MINERA ESCONDIDA LTDA.,66,DEDICADO,2014-04-12,-24.27277505899997,-69.05080025799998
1818,S/E ANTUCOYA,MINERA ANTUCOYA,220,DEDICADO,2014-04-12,-22.614093640999958,-69.84443241999998
1951,TAP OFF DOLORES,ENGIE ENERGÍA CHILE S.A.,110,ZONAL,2014-04-12,-19.61712300099998,-69.94619599999999
442,S/E PITRUFQUEN,CGE TRANSMISIÓN S.A.,66,ZONAL,2014-04-12,-38.98396638099996,-72.64887835999997
2242,S/E FAENAS PANGUE,PALMUCHO S.A.,<66,DEDICADO,2014-04-12,-37.90631600099994,-71.61457699999994
698,S/E LO ESPEJO,SOCIEDAD TRANSMISORA METROPOLITANA II S.A.,220,ZONAL,2014-04-12,-33.530570000999944,-70.71137699999997
227,S/E LAS TORTOLAS,ALFA TRANSMISORA DE ENERGÍA S.A.,220,DEDICADO,2014-04-12,-33.14256500099998,-70.70233099999996
