name,longitude,latitude
Est LIPINGÜE,-72.81093966113693,-39.92783809239747
Est REUMEN,-72.83583988040276,-39.98917801682616
Est PAILLACO,-72.87801489583578,-40.07102643403681
Est PICHIRROPULLI,-72.89789740678074,-40.1514749186818
Est LOS CONALES,-72.95630039304328,-40.2124762540332
Est RAPACO,-73.01618348071324,-40.25013135967483
Est LA UNIÓN,-73.07349084304417,-40.30004927883073
Est RIO BUENO (Pasajeros),-72.94990032696151,-40.32950217266469
Est RÍO BUENO,-72.93166350546618,-40.33782097770439
Est ALFREDO GUZMÁN,-72.8585785692497,-40.38705414093129
Est EL LAUREL,-72.81604985005704,-40.41171092738542
Est CRUCERO,-72.78624307702566,-40.42003002722908
Est PURRAPEL,-72.76391818548557,-40.47488409539328
Est CHAMPULLI,-72.69606232462078,-40.53127116576628
Est CHIRRE,-72.65038987173023,-40.57685132460563
Est CHISCAIHUE,-72.62411855604222,-40.63139089033943
Est PUYEHUE,-72.60633264116056,-40.69419149589089
Est TRAPI,-72.71025289975903,-40.40260058235165
Est VIVANCO,-72.61890315663943,-40.37356023800975
Est IGNAO,-72.5559935063017,-40.33220760914477
Est QUILLAICO,-72.53364324632106,-40.3242568969459
Est LAGO RANCO,-72.47303960974111,-40.31901550602545
Est TRUMAO,-73.16319577320483,-40.36200711663154
Est CARACOL,-73.12468083892713,-40.43951235548121
Est CHACAYAL,-73.12518604719756,-40.4989244020017
Est OSORNO,-73.141321741276,-40.57476596928031
Est SAGLLUÉ,-73.17470125543826,-40.61793347344182
Est CAIPULLI,-73.20368327176897,-40.64783195708092
Est CHAHUILCO,-73.21488181523772,-40.71826475846678
Est RIO NEGRO,-73.21273821246841,-40.79367979367427
Est PURRANQUE,-73.16307606544171,-40.9121571460643
Est CORTE ALTO,-73.15921381777996,-40.95163998734065
Est CONCORDIA,-73.29582284429578,-41.00382311460905
Est TEGUALDA,-73.39877615615023,-41.0408165534889
Est FRESIA,-73.42459393961578,-41.15141943191399
Est PARGA,-73.48522857118554,-41.21977835420311
Est RIO FRIO,-73.45527996567175,-41.30389338223524
Est LOS MUERMOS,-73.46465217474167,-41.39580945805259
Est CASMA,-73.12637831416401,-41.00807792797892
Est FRUTILLAR,-73.06136961679637,-41.12574476071615
Est LOS PELLINES,-73.06780672453611,-41.18747938117242
Est LLANQUIHUE,-73.00652869463413,-41.2529404163358
Est PUERTO VARAS,-72.98443093429968,-41.31310959829563
Est ALERCE,-72.91949028740447,-41.39930676206171
Est PUERTO MONTT (Ex-La Paloma),-72.91764593923929,-41.45917144618645
Est LOS TILOS,-70.68080193382178,-33.44670607296179
Est YUNGAY SUR,-70.68136695618651,-33.42979721417282
Est PIRQUE,-70.63326709824489,-33.43736573236047
Est PUENTE ALTO,-70.57278108036856,-33.61216518607145
Est CASAS VIEJAS,-70.526679,-33.61014362681188
Est LA OBRA,-70.48205014930166,-33.58911263263094
Est LAS VERTIENTES,-70.46923294053279,-33.5862742991004
Est EL CANELO,-70.45026930122218,-33.57720544029839
Est EL MANZANO,-70.4076920048525,-33.58269454303056
Est GUAYACAN,-70.35112684339302,-33.60488446273868
Est SAN JOSE DE MAIPO,-70.3533174215786,-33.6352971034425
Est EL MELOCOTON,-70.33556770809908,-33.69332031120615
Est SAN ALFONSO,-70.31793716560884,-33.73197008839837
Est EL INGENIO,-70.27927999518005,-33.75498674477441
Est SAN GABRIEL,-70.23994455478608,-33.78248720654283
Est ROMERAL,-70.22164579707392,-33.79189797018211
Est LOS QUELTEHUES,-70.21693425313367,-33.80484670928256
Est EL VOLCÁN,-70.1700872908478,-33.81484256530314
Est CALERA (Red NORTE),-71.19189620679431,-32.78959833042962
Est NOGALES,-71.20317124823632,-32.73868782648246
Est EL MELON,-71.21431428604828,-32.6906964522075
Est PALOS QUEMADOS,-71.28070323465613,-32.63213682283824
Est COLIGÜES,-71.27581912754079,-32.58662290606372
Est CATAPILCO,-71.27831191403293,-32.56568851352287
Est LA LIGUA,-71.23078317158082,-32.45135960310979
Est LA HIGUERA,-71.17933200159766,-32.48000427569183
Est INGENIO,-71.11178657560774,-32.46568773612572
Est CABILDO,-71.06975583814562,-32.42700986767491
Est QUÍNQUIMO,-71.30565897457218,-32.44849173780374
Est RAYADO,-71.25503565169186,-32.45743489753603
Est PAPUDO,-71.4410047310514,-32.5055186720818
Est LONGOTOMA,-71.36926186816407,-32.38737654198766
Est HUAQUÉN,-71.46188641394743,-32.31640713629506
Est INGENIERO SANTA MARÍA,-71.48261543395354,-32.23260003790426
Est PICHIDANGUI,-71.50743321483908,-32.12344842089693
Est INGENIERO BARRIGA,-71.50379746503928,-32.03255777007913
Est LOS VILOS,-71.50726049642293,-31.91386846471615
Est LAS VACAS,-71.36181716790568,-31.83969810233677
Est CAVILOLEN,-71.30846918634643,-31.76004592265026
Est LAS CAÑAS,-71.26672028846642,-31.76380123047815
Est CHOAPA,-71.21597100229634,-31.71873192646996
Est LIMÁHUIDA,-71.16352688368231,-31.75253340082969
Est ALTAMIRANO,-71.12800250988595,-31.75147889786515
Est TAHUINCO,-71.05748698770377,-31.78971165999719
