Mine,ForecastYear,Horizonte,Pred,Naive_Pred,Lower,Upper,Origin_Prod,Mine_Size,Size_Label,Company_Size,Segment
los bronces,2027,2,185.73709611345652,207.207,174.64509611345653,211.65409611345652,207.207,3,Colossal,2,LargeColossal
los bronces,2028,3,185.69509611345651,207.207,171.92909611345652,205.37709611345653,207.207,3,Colossal,2,LargeColossal
los bronces,2029,4,183.04209611345652,207.207,168.36209611345652,204.62609611345653,207.207,3,Colossal,2,LargeColossal
los bronces,2030,5,185.64309611345652,207.207,165.5100961134565,210.44009611345652,207.207,3,Colossal,2,LargeColossal
los bronces,2031,6,191.81109611345653,207.207,164.49109611345654,208.71409611345652,207.207,3,Colossal,2,LargeColossal
los bronces,2032,7,192.41209611345653,207.207,161.4210961134565,210.6880961134565,207.207,3,Colossal,2,LargeColossal
los pelambres,2026,1,275.03702533373456,305.873,233.50502533373458,319.8730253337346,305.873,3,Colossal,1,LargeColossal
los pelambres,2027,2,277.47002533373455,305.873,230.79202533373456,320.3850253337346,305.873,3,Colossal,1,LargeColossal
los pelambres,2028,3,284.66002533373455,305.873,228.83102533373454,313.46702533373457,305.873,3,Colossal,1,LargeColossal
los pelambres,2029,4,283.79702533373455,305.873,223.80002533373454,313.14502533373457,305.873,3,Colossal,1,LargeColossal
los pelambres,2030,5,285.22702533373456,305.873,218.15702533373457,313.09702533373456,305.873,3,Colossal,1,LargeColossal
los pelambres,2031,6,284.8510253337346,305.873,220.23102533373458,309.17402533373456,305.873,3,Colossal,1,LargeColossal
los pelambres,2032,7,283.88602533373455,305.873,218.80402533373456,310.57402533373454,305.873,3,Colossal,1,LargeColossal
mantos blancos,2026,1,79.67522529822955,61.919,72.36422529822956,81.36322529822955,61.919,1,Medium,1,SmallMed
mantos blancos,2027,2,77.61222529822956,61.919,69.45622529822955,82.35822529822956,61.919,1,Medium,1,SmallMed
mantos blancos,2028,3,78.31622529822955,61.919,70.75122529822956,84.75922529822955,61.919,1,Medium,1,SmallMed
mantos blancos,2029,4,78.10122529822956,61.919,72.15222529822955,85.20022529822955,61.919,1,Medium,1,SmallMed
mantos blancos,2030,5,78.36222529822956,61.919,70.67422529822956,83.48022529822956,61.919,1,Medium,1,SmallMed
mantos blancos,2031,6,78.95822529822955,61.919,69.54722529822956,81.57322529822956,61.919,1,Medium,1,SmallMed
mantos blancos,2032,7,74.41222529822956,61.919,67.13022529822956,80.24422529822955,61.919,1,Medium,1,SmallMed
mantoverde,2026,1,112.81764536805936,95.115,116.59664536805937,146.09464536805936,95.115,1,Medium,1,SmallMed
mantoverde,2027,2,101.28664536805937,95.115,114.12764536805936,146.70264536805936,95.115,1,Medium,1,SmallMed
mantoverde,2028,3,100.88464536805937,95.115,113.13964536805936,147.63664536805936,95.115,1,Medium,1,SmallMed
mantoverde,2029,4,103.33664536805937,95.115,112.33864536805936,148.70264536805936,95.115,1,Medium,1,SmallMed
mantoverde,2030,5,108.16664536805936,95.115,112.76364536805937,148.38164536805937,95.115,1,Medium,1,SmallMed
mantoverde,2031,6,106.20064536805937,95.115,110.02964536805936,148.45064536805936,95.115,1,Medium,1,SmallMed
mantoverde,2032,7,104.95964536805937,95.115,110.15664536805937,146.44864536805935,95.115,1,Medium,1,SmallMed
michilla,2026,1,1.8089572541164518,16.879,0.0,13.443957254116452,16.879,0,Small,1,SmallMed
michilla,2027,2,0.0,16.879,0.0,13.245957254116455,16.879,0,Small,1,SmallMed
michilla,2028,3,0.0,16.879,0.0,12.668957254116453,16.879,0,Small,1,SmallMed
michilla,2029,4,0.0,16.879,0.0,12.479957254116453,16.879,0,Small,1,SmallMed
michilla,2030,5,0.0,16.879,0.0,11.874957254116453,16.879,0,Small,1,SmallMed
michilla,2031,6,0.0,16.879,0.0,10.223957254116453,16.879,0,Small,1,SmallMed
michilla,2032,7,0.0,16.879,0.0,9.979957254116453,16.879,0,Small,1,SmallMed
ministro hales,2026,1,182.88756031058546,152.888,149.30356031058545,190.51656031058545,152.888,2,Large,2,LargeColossal
ministro hales,2027,2,180.81956031058544,152.888,149.19556031058545,189.41156031058546,152.888,2,Large,2,LargeColossal
ministro hales,2028,3,177.01756031058545,152.888,146.89156031058545,189.26456031058544,152.888,2,Large,2,LargeColossal
ministro hales,2029,4,179.81456031058545,152.888,145.15556031058546,184.17256031058545,152.888,2,Large,2,LargeColossal
ministro hales,2030,5,176.09656031058546,152.888,144.43156031058544,184.61256031058545,152.888,2,Large,2,LargeColossal
ministro hales,2031,6,174.86556031058544,152.888,143.49756031058544,184.31656031058546,152.888,2,Large,2,LargeColossal
ministro hales,2032,7,170.03056031058546,152.888,140.35056031058545,188.40256031058544,152.888,2,Large,2,LargeColossal
pampa camarones,2026,1,3.166,3.643,3.219,3.86,3.643,0,Small,1,SmallMed
pampa camarones,2027,2,3.278,3.643,2.763,3.884,3.643,0,Small,1,SmallMed
pampa camarones,2028,3,2.881,3.643,2.433,3.77,3.643,0,Small,1,SmallMed
pampa camarones,2029,4,2.877,3.643,2.166,3.715,3.643,0,Small,1,SmallMed
pampa camarones,2030,5,2.337,3.643,2.174,3.42,3.643,0,Small,1,SmallMed
pampa camarones,2031,6,2.361,3.643,2.339,3.415,3.643,0,Small,1,SmallMed
