Stat,ML,a_ss,a_sl,a_lc,Combined_WR,SM_WR,SM_MAPE,LC_WR
RollingMean,RF,0.5,0.6,0.7,53.95874916833001,62.31454005934718,29.490368717904925,51.543739279588344
RollingMean,RF,0.5,0.7,0.7,53.89221556886228,62.01780415430267,29.410848539526423,51.543739279588344
RollingMean,RF,0.5,0.8,0.7,53.75914836992681,61.42433234421365,29.412594063228273,51.543739279588344
RollingMean,RF,0.5,0.9,0.7,53.69261477045908,61.12759643916914,29.62820145842545,51.543739279588344
RollingMean,RF,0.5,1.0,0.7,53.69261477045908,61.12759643916914,29.89655043330216,51.543739279588344
RollingMean,RF,0.6,0.6,0.7,53.89221556886228,62.01780415430267,29.30134386201357,51.543739279588344
RollingMean,RF,0.6,0.7,0.7,53.825681969394545,61.72106824925816,29.221823683635066,51.543739279588344
RollingMean,RF,0.6,0.8,0.7,53.69261477045908,61.12759643916914,29.223569207336915,51.543739279588344
RollingMean,RF,0.6,0.9,0.7,53.62608117099135,60.83086053412463,29.439176602534097,51.543739279588344
RollingMean,RF,0.6,1.0,0.7,53.62608117099135,60.83086053412463,29.707525577410806,51.543739279588344
RollingMean,RF,0.7,0.7,0.7,53.69261477045908,61.12759643916914,29.147360470992595,51.543739279588344
RollingMean,RF,0.7,0.8,0.7,53.55954757152363,60.534124629080125,29.14910599469444,51.543739279588344
RollingMean,RF,0.7,0.9,0.7,53.49301397205589,60.23738872403561,29.36471338989162,51.543739279588344
RollingMean,RF,0.7,1.0,0.7,53.49301397205589,60.23738872403561,29.633062364768328,51.543739279588344
RollingMean,RF,0.8,0.8,0.7,53.55954757152363,60.534124629080125,29.103565303149328,51.543739279588344
RollingMean,RF,0.8,0.9,0.7,53.49301397205589,60.23738872403561,29.31917269834651,51.543739279588344
RollingMean,RF,0.8,1.0,0.7,53.49301397205589,60.23738872403561,29.587521673223215,51.543739279588344
RollingMean,LGB+RF,0.3,0.5,0.6,50.83166999334664,58.160237388724035,36.06490838795614,48.713550600343055
RollingMean,LGB+RF,0.3,0.6,0.6,50.9647371922821,58.753709198813056,36.477174678477475,48.713550600343055
RollingMean,LGB+RF,0.3,0.7,0.6,50.83166999334664,58.160237388724035,36.87860705834739,48.713550600343055
RollingMean,LGB+RF,0.3,0.8,0.6,50.69860279441118,57.566765578635014,37.34975329149791,48.713550600343055
RollingMean,LGB+RF,0.3,0.9,0.6,50.43246839654025,56.37982195845698,37.83218995188798,48.713550600343055
RollingMean,LGB+RF,0.3,1.0,0.6,50.43246839654025,56.37982195845698,38.25930550085366,48.713550600343055
RollingMean,LGB+RF,0.4,0.5,0.6,50.43246839654025,56.37982195845698,36.28169501753855,48.713550600343055
RollingMean,LGB+RF,0.4,0.6,0.6,50.565535595475716,56.97329376854599,36.693961308059876,48.713550600343055
RollingMean,LGB+RF,0.4,0.7,0.6,50.43246839654025,56.37982195845698,37.0953936879298,48.713550600343055
RollingMean,LGB+RF,0.4,0.8,0.6,50.29940119760479,55.78635014836796,37.56653992108032,48.713550600343055
RollingMean,LGB+RF,0.4,0.9,0.6,50.033266799733866,54.59940652818991,38.04897658147039,48.713550600343055
RollingMean,LGB+RF,0.4,1.0,0.6,50.033266799733866,54.59940652818991,38.47609213043606,48.713550600343055
RollingMean,LGB+RF,0.5,0.5,0.6,50.23286759813706,55.48961424332344,36.53253368553793,48.713550600343055
RollingMean,LGB+RF,0.5,0.6,0.6,50.36593479707252,56.083086053412465,36.94479997605926,48.713550600343055
RollingMean,LGB+RF,0.5,0.7,0.6,50.23286759813706,55.48961424332344,37.346232355929175,48.713550600343055
RollingMean,LGB+RF,0.5,0.8,0.6,50.0998003992016,54.89614243323442,37.817378589079695,48.713550600343055
RollingMean,LGB+RF,0.5,0.9,0.6,49.83366600133067,53.70919881305638,38.29981524946976,48.713550600343055
RollingMean,LGB+RF,0.5,1.0,0.6,49.83366600133067,53.70919881305638,38.72693079843544,48.713550600343055
RollingMean,LGB+RF,0.6,0.6,0.6,50.23286759813706,55.48961424332344,37.220448238608846,48.713550600343055
RollingMean,LGB+RF,0.6,0.7,0.6,50.0998003992016,54.89614243323442,37.62188061847877,48.713550600343055
RollingMean,LGB+RF,0.6,0.8,0.6,49.966733200266134,54.3026706231454,38.09302685162928,48.713550600343055
RollingMean,LGB+RF,0.6,0.9,0.6,49.70059880239521,53.11572700296736,38.575463512019354,48.713550600343055
