Exp,Origin,Horizonte,ForecastYear,Mine,Actual,Pred,Naive_Pred,SARIMAX_Pred,Company_Size,Mine_Size,Origin_Prod,Model_Error,Naive_Error,Beats_Naive,MAPE,Is_Pandemic_Target,Is_Recovery_Target,Alpha_Mine
Ens_LC_3070,2014,6,2020,collahuasi,629.1000000000001,429.10054843606497,470.4,405.58105793896567,2.0,3,,199.99945156393517,158.70000000000016,0,31.79136087204284,,,
Ens_LC_3070,2014,6,2020,el abra,71.89999999999999,159.40430764003415,166.40000000000003,166.32341777894433,2.0,3,,87.50430764003416,94.50000000000004,1,121.70279057441762,,,
Ens_LC_3070,2014,6,2020,el teniente,443.1999999999999,471.43474590822444,455.5,453.06869186579956,2.0,3,,28.234745908224568,12.300000000000125,0,6.370655650838904,,,
Ens_LC_3070,2014,6,2020,escondida,1187.3,1144.8005087105,1165.4,1174.4985781555747,2.0,3,,42.49949128949993,21.899999999999864,0,3.5795073910304773,,,
Ens_LC_3070,2014,6,2020,gabriela mistral,102.1,117.94502800551751,121.0,122.82798678130774,2.0,2,,15.84502800551752,18.900000000000006,1,15.519126200123662,,,
Ens_LC_3070,2014,6,2020,lomas bayas,73.9,62.439509262544966,66.4,55.34119524860164,2.0,2,,11.46049073745504,7.5,0,15.50810633609469,,,
Ens_LC_3070,2014,6,2020,los bronces,370.5,429.5422503501904,436.8999999999999,443.1069036922656,2.0,3,,59.042250350190386,66.39999999999992,1,15.935830011020807,,,
Ens_LC_3070,2014,6,2020,los pelambres,372.1,422.336222992246,404.6,454.659056283716,1.0,3,,50.236222992245985,32.5,0,13.500731754162501,,,
Ens_LC_3070,2014,6,2020,radomiro tomic,260.6,299.0963489472062,327.3,276.2311917006718,2.0,3,,38.49634894720617,66.69999999999999,1,14.772198311390708,,,
Ens_LC_3070,2014,6,2020,zaldivar,96.5,59.66480252055331,100.59999999999998,47.74754722305342,1.0,2,,36.83519747944669,4.09999999999998,0,38.17118870231586,,,
Ens_LC_3070,2014,7,2021,andina,177.215,233.4502350860614,232.40000000000003,232.3984143400635,2.0,3,,56.23523508606141,55.18500000000003,0,31.732773618900023,,,
Ens_LC_3070,2014,7,2021,candelaria,118.626,127.99878006701029,134.70000000000002,128.81504368331727,1.0,2,,9.372780067010282,16.074000000000012,1,7.901117788679636,,,
Ens_LC_3070,2014,7,2021,capstone copper (4),94.718,103.66960572537414,104.2,97.66960279866281,0.0,2,,8.951605725374137,9.482,1,9.450796713260594,,,
Ens_LC_3070,2014,7,2021,centinela_centinela_sulfuros_,185.352,175.97398530063,180.7,180.7,1.0,2,,9.378014699369999,4.652000000000015,0,5.059570249457409,,,
Ens_LC_3070,2014,7,2021,centinela_centinela_óxidos_,88.843,94.2931725870513,93.8,96.12401309900949,1.0,2,,5.4501725870512985,4.956999999999994,0,6.134611084390653,,,
Ens_LC_3070,2014,7,2021,cerro colorado,57.438,84.34586867352812,79.6,77.80774814173604,2.0,2,,26.907868673528114,22.161999999999992,0,46.846805607890346,,,
Ens_LC_3070,2014,7,2021,chuquicamata,319.28,360.6688863405852,340.4,344.48566327623365,2.0,3,,41.3888863405852,21.120000000000005,0,12.963194127710242,,,
Ens_LC_3070,2014,7,2021,collahuasi,630.041,425.79955957808465,470.4,405.1688341174567,2.0,3,,204.2414404219154,159.64100000000008,0,32.417166517376444,,,
Ens_LC_3070,2014,7,2021,el abra,72.654,157.79929311526757,166.40000000000003,165.74376970426866,2.0,3,,85.14529311526758,93.74600000000004,1,117.19284821666956,,,
Ens_LC_3070,2014,7,2021,el teniente,459.818,476.381571437994,455.5,453.06304586600896,2.0,3,,16.563571437994028,4.317999999999984,0,3.6022016106311656,,,
Ens_LC_3070,2014,7,2021,escondida,1011.327,1161.8782850202263,1165.4,1175.9285711125694,2.0,3,,150.55128502022626,154.0730000000001,1,14.886508999696554,,,
Ens_LC_3070,2014,7,2021,gabriela mistral,100.909,118.15418532370033,121.0,123.83767649937799,2.0,2,,17.245185323700326,20.090999999999994,1,17.089838520649238,,,
Ens_LC_3070,2014,7,2021,lomas bayas,64.281,61.46377080175999,66.4,54.3549715033418,2.0,2,,2.817229198240014,2.1189999999999998,0,4.3826778587968995,,,
Ens_LC_3070,2014,7,2021,los bronces,369.982,436.1813525917688,436.8999999999999,443.1517747977037,2.0,3,,66.19935259176879,66.91799999999989,1,17.892587318529795,,,
Ens_LC_3070,2014,7,2021,los pelambres,336.338,424.8359379410709,404.6,462.88689687274695,1.0,3,,88.49793794107086,68.262,0,26.312203104599785,,,
Ens_LC_3070,2014,7,2021,radomiro tomic,326.457,292.87415907127485,327.3,276.23119169529264,2.0,3,,33.58284092872515,0.8430000000000177,0,10.287064092929393,,,
Ens_LC_3070,2014,7,2021,zaldivar,86.92,53.684266176736585,100.59999999999998,41.88387027894072,1.0,2,,33.235733823263416,13.679999999999978,0,38.23715306131142,,,
Ens_LC_3070,2015,1,2016,andina,193.4,222.00175182773484,224.29999999999995,222.75218259075015,2.0,3,,28.60175182773483,30.89999999999995,1,14.788909865483832,,,
Ens_LC_3070,2015,1,2016,candelaria,135.39999999999998,148.81671943224535,150.2,148.3467260979005,1.0,2,,13.416719432245372,14.800000000000011,1,9.908950763039783,,,
Ens_LC_3070,2015,1,2016,capstone copper (4),99.1,105.30243240237756,106.3,105.46422000535766,0.0,2,,6.202432402377568,7.200000000000003,1,6.258761190504497,,,
Ens_LC_3070,2015,1,2016,centinela_centinela_sulfuros_,180.4,145.74456350743532,145.20000000000002,145.20000000000002,1.0,2,,34.65543649256469,35.19999999999999,1,19.210330543493008,,,
Ens_LC_3070,2015,1,2016,centinela_centinela_óxidos_,55.8,65.48050364536695,75.9,60.0195510149412,1.0,2,,9.680503645366954,20.10000000000001,1,17.3485725302531,,,
